Model:	LI-7500A Open Path CO2/H2O Analyzer
SN:	75H-2651
Instrument:	AIU-1552
File Type:	2
Software Version:	7.5.0
Timestamp:	10:54:56
Timezone:	Asia/Kuala_Lumpur
DATAH	Seconds	Nanoseconds	Sequence Number	Diagnostic Value	Diagnostic Value 2	Date	Time	CO2 Absorptance	H2O Absorptance	CO2 (mmol/m^3)	CO2 (mg/m^3)	H2O (mmol/m^3)	H2O (g/m^3)	Temperature (C)	Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - Ts (K)	Cooler Voltage (V)	Vin SmartFlux (V)	CO2 (umol/mol)	H2O (mmol/mol)	Dew Point (C)	CO2 Signal Strength	H2O Sample	H2O Reference	CO2 Sample	CO2 Reference	CHK
DATA	1449024899	700000000	169972392	255	1	2015-12-02	10:54:59:700	0.0863554	0.125471	15.817	695.948	1243.62	22.3851	30.3918	101.152	0.606258	0.411957	0.0225749	303.88	2.29465	0	394.6	31.0255	24.7866	98.9583	39290	39208	38759	39374	200
DATA	1449024899	800000000	169972422	255	1	2015-12-02	10:54:59:800	0.0863552	0.125364	15.8167	695.937	1242.07	22.3572	30.3918	101.157	0.595051	0.408218	0.0250664	303.88	2.29465	0	394.571	30.9851	24.7439	98.9583	39293	39208	38758	39374	 93
DATA	1449024899	900000000	169972452	255	1	2015-12-02	10:54:59:900	0.0863686	0.125308	15.8201	696.083	1241.29	22.3432	30.3878	101.157	0.572632	0.415691	0.0157247	303.861	2.29465	0	394.669	30.9669	24.7662	98.9558	39286	39208	38759	39373	159
DATA	1449024900	0	169972482	255	1	2015-12-02	10:55:00:000	0.0863501	0.125471	15.8155	695.882	1243.58	22.3844	30.3878	101.157	0.565159	0.408218	0.0182157	303.867	2.29465	0	394.532	31.0221	24.7878	98.9558	39282	39207	38760	39374	223
DATA	1449024900	100000000	169972512	255	1	2015-12-02	10:55:00:100	0.0863269	0.125562	15.8101	695.644	1244.87	22.4077	30.3878	101.152	0.550209	0.382065	0.0200839	303.88	2.29465	0	394.396	31.0544	24.7969	98.9608	39287	39210	38759	39375	 44
DATA	1449024900	200000000	169972542	255	1	2015-12-02	10:55:00:200	0.0863737	0.125482	15.8211	696.131	1243.76	22.3877	30.3839	101.157	0.557682	0.385799	0.0200839	303.892	2.29465	0	394.686	31.0277	24.7877	98.9608	39286	39209	38758	39375	139
DATA	1449024900	300000000	169972572	255	1	2015-12-02	10:55:00:300	0.0863891	0.125518	15.8247	696.287	1244.27	22.3968	30.3839	101.152	0.572632	0.389538	0.0194612	303.911	2.29455	0	394.772	31.0401	24.7969	98.9594	39283	39210	38759	39375	119
DATA	1449024900	400000000	169972602	255	1	2015-12-02	10:55:00:400	0.0863801	0.125589	15.8226	696.193	1245.27	22.4148	30.38	101.157	0.561419	0.382065	0.0182157	303.892	2.29465	0	394.71	31.0645	24.8185	98.9583	39276	39209	38758	39374	202
DATA	1449024900	500000000	169972632	255	1	2015-12-02	10:55:00:500	0.0863768	0.125718	15.8218	696.161	1247.11	22.4481	30.3761	101.157	0.580105	0.348434	0.0151019	303.898	2.29465	0	394.7	31.1111	24.8236	98.9608	39279	39210	38759	39375	232
DATA	1449024900	600000000	169972662	255	1	2015-12-02	10:55:00:600	0.0863673	0.125641	15.8195	696.06	1246	22.4281	30.38	101.152	0.565159	0.385799	0.0182157	303.898	2.29465	0	394.627	31.0822	24.805	98.9608	39284	39209	38758	39374	 21
DATA	1449024900	700000000	169972692	255	1	2015-12-02	10:55:00:700	0.0863652	0.125512	15.8191	696.041	1244.18	22.3952	30.3761	101.152	0.561419	0.389538	0.0213294	303.874	2.29465	0	394.618	31.0368	24.802	98.9583	39280	39208	38758	39374	 42
DATA	1449024900	800000000	169972722	255	1	2015-12-02	10:55:00:800	0.0863815	0.125601	15.8229	696.209	1245.45	22.418	30.3722	101.157	0.580105	0.393272	0.0207067	303.917	2.29465	0	394.715	31.0686	24.8121	98.9583	39280	39208	38758	39374	 28
DATA	1449024900	900000000	169972752	255	1	2015-12-02	10:55:00:900	0.0863794	0.125607	15.8223	696.182	1245.52	22.4193	30.3722	101.157	0.587578	0.385799	0.0207067	303.923	2.29465	0	394.685	31.0692	24.8036	98.9583	39281	39208	38758	39374	131
DATA	1449024901	0	169972782	255	1	2015-12-02	10:55:01:000	0.0863766	0.125559	15.8217	696.153	1244.83	22.407	30.3683	101.152	0.598785	0.36338	0.0263119	303.88	2.29465	0	394.666	31.052	24.7957	98.9558	39282	39207	38757	39373	 44
DATA	1449024901	100000000	169972812	255	1	2015-12-02	10:55:01:100	0.0863723	0.125548	15.8208	696.114	1244.69	22.4044	30.3683	101.152	0.561419	0.329754	0.0375214	303.93	2.29465	0	394.649	31.0488	24.7882	98.9583	39282	39208	38758	39374	 48
DATA	1449024901	200000000	169972842	255	1	2015-12-02	10:55:01:200	0.0863561	0.125549	15.8169	695.945	1244.7	22.4046	30.3643	101.157	0.561419	0.307335	0.0350304	303.93	2.29465	0	394.545	31.0483	24.7958	98.9558	39286	39208	38758	39373	  1
DATA	1449024901	300000000	169972872	255	1	2015-12-02	10:55:01:300	0.0863428	0.125452	15.8139	695.812	1243.32	22.3798	30.3643	101.152	0.565159	0.307335	0.0350304	303.93	2.29465	0	394.468	31.014	24.7936	98.9558	39270	39207	38755	39373	236
DATA	1449024901	400000000	169972902	255	1	2015-12-02	10:55:01:400	0.0864274	0.125813	15.8335	696.675	1248.45	22.4721	30.3604	101.152	0.542736	0.303596	0.0344076	303.948	2.29465	0	394.963	31.1423	24.839	98.9583	39270	39208	38755	39374	 43
DATA	1449024901	500000000	169972932	255	1	2015-12-02	10:55:01:500	0.0864333	0.125838	15.8347	696.725	1248.78	22.4781	30.3604	101.152	0.576366	0.269966	0.0387669	303.948	2.29465	0	394.969	31.1488	24.8614	98.9558	39267	39208	38755	39374	167
DATA	1449024901	600000000	169972962	255	1	2015-12-02	10:55:01:600	0.0864484	0.125892	15.8382	696.88	1249.55	22.4919	30.3604	101.157	0.587578	0.307335	0.0331621	303.886	2.29465	0	395.058	31.1681	24.8609	98.9558	39266	39208	38756	39374	 93
DATA	1449024901	700000000	169972992	255	1	2015-12-02	10:55:01:700	0.0864222	0.125922	15.8322	696.618	1250	22.5	30.3565	101.157	0.587578	0.284916	0.0356531	303.886	2.29455	0	394.92	31.1801	24.8552	98.9569	39277	39209	38755	39374	 22
DATA	1449024901	800000000	169973022	255	1	2015-12-02	10:55:01:800	0.0864532	0.125671	15.8396	696.94	1246.44	22.436	30.3565	101.152	0.606258	0.269966	0.0375214	303.917	2.29475	0	395.109	31.0919	24.7978	98.9572	39288	39207	38754	39373	 24
DATA	1449024901	900000000	169973052	255	1	2015-12-02	10:55:01:900	0.0864378	0.12539	15.836	696.784	1242.45	22.3642	30.3565	101.157	0.598785	0.303596	0.0375214	303.874	2.29475	0	395.015	30.9919	24.7275	98.9597	39297	39209	38760	39375	 43
DATA	1449024902	0	169973082	255	1	2015-12-02	10:55:02:000	0.0863433	0.125237	15.8141	695.819	1240.27	22.3249	30.3526	101.157	0.561419	0.318542	0.0393896	303.83	2.29475	0	394.461	30.9369	24.7387	98.9622	39294	39209	38760	39375	172
DATA	1449024902	100000000	169973112	255	1	2015-12-02	10:55:02:100	0.0863651	0.125336	15.8191	696.041	1241.68	22.3503	30.3526	101.152	0.602524	0.288651	0.0393896	303.886	2.29475	0	394.586	30.9721	24.77	98.9597	39293	39208	38759	39374	253
DATA	1449024902	200000000	169973142	255	1	2015-12-02	10:55:02:200	0.086333	0.125291	15.8117	695.716	1241.05	22.3389	30.3526	101.152	0.568893	0.329754	0.0381441	303.979	2.29475	0	394.405	30.9565	24.732	98.9597	39297	39208	38761	39374	  2
DATA	1449024902	300000000	169973172	255	1	2015-12-02	10:55:02:300	0.0863038	0.12521	15.8048	695.413	1239.88	22.3178	30.3487	101.152	0.595051	0.299862	0.0400124	303.973	2.29475	0	394.218	30.9261	24.739	98.9572	39296	39208	38760	39373	244
DATA	1449024902	400000000	169973202	255	1	2015-12-02	10:55:02:400	0.0863072	0.125249	15.8057	695.449	1240.44	22.328	30.3487	101.157	0.576366	0.355907	0.0375214	303.961	2.29475	0	394.242	30.9405	24.7496	98.9572	39278	39208	38761	39373	 48
DATA	1449024902	500000000	169973232	255	1	2015-12-02	10:55:02:500	0.0863026	0.12565	15.8045	695.399	1246.14	22.4305	30.3487	101.152	0.651096	0.314808	0.0281801	303.942	2.29465	0	394.214	31.0825	24.7653	98.9583	39287	39209	38762	39374	 28
DATA	1449024902	600000000	169973262	255	1	2015-12-02	10:55:02:600	0.0862914	0.125443	15.802	695.29	1243.2	22.3775	30.3487	101.152	0.602524	0.292389	0.0281801	303.955	2.29475	0	394.158	31.0096	24.7966	98.9572	39296	39207	38760	39373	198
DATA	1449024902	700000000	169973292	255	1	2015-12-02	10:55:02:700	0.0862948	0.125219	15.8029	695.328	1240.03	22.3205	30.3448	101.152	0.565159	0.292389	0.0325394	303.948	2.29465	0	394.177	30.9305	24.728	98.9558	39295	39207	38760	39373	 58
DATA	1449024902	800000000	169973322	255	1	2015-12-02	10:55:02:800	0.0862963	0.125255	15.8031	695.338	1240.52	22.3294	30.3448	101.152	0.561419	0.296124	0.0325394	303.948	2.29475	0	394.173	30.9419	24.7356	98.9572	39300	39209	38762	39374	 86
DATA	1449024902	900000000	169973352	255	1	2015-12-02	10:55:02:900	0.0862789	0.125226	15.7991	695.161	1240.11	22.322	30.3409	101.152	0.52779	0.288651	0.0319166	303.973	2.29475	0	394.072	30.9316	24.7637	98.9622	39289	39208	38761	39374	  2
DATA	1449024903	0	169973382	255	1	2015-12-02	10:55:03:000	0.0863106	0.125409	15.8064	695.481	1242.71	22.3688	30.3409	101.152	0.520317	0.307335	0.0325394	303.998	2.29475	0	394.251	30.9962	24.7649	98.9597	39288	39208	38762	39373	228
DATA	1449024903	100000000	169973412	255	1	2015-12-02	10:55:03:100	0.0862741	0.125426	15.7979	695.108	1242.94	22.3729	30.3409	101.152	0.52779	0.292389	0.0393896	303.93	2.29465	0	394.035	31.0017	24.7634	98.9558	39292	39208	38761	39373	  3
DATA	1449024903	200000000	169973442	255	1	2015-12-02	10:55:03:200	0.0862841	0.125314	15.8004	695.216	1241.37	22.3447	30.3369	101.152	0.509108	0.284916	0.0468626	303.998	2.29475	0	394.105	30.9633	24.7349	98.9597	39295	39208	38761	39374	 98
DATA	1449024903	300000000	169973472	255	1	2015-12-02	10:55:03:300	0.0862986	0.125273	15.8036	695.361	1240.78	22.3341	30.3369	101.157	0.542736	0.262493	0.0474858	304.004	2.29465	0	394.176	30.9477	24.7569	98.9583	39273	39208	38762	39374	117
DATA	1449024903	400000000	169973502	255	1	2015-12-02	10:55:03:400	0.0862693	0.126117	15.7967	695.055	1252.77	22.5499	30.3369	101.157	0.583839	0.26623	0.0493541	303.998	2.29465	0	394.008	31.2472	25.0878	98.9583	39269	39208	38762	39374	 86
DATA	1449024903	500000000	169973532	255	1	2015-12-02	10:55:03:500	0.0862904	0.125966	15.8016	695.272	1250.63	22.5113	30.3369	101.152	0.624943	0.262493	0.0393896	304.06	2.29475	0	394.13	31.1936	25.1386	98.9572	39199	39207	38761	39373	248
DATA	1449024903	600000000	169973562	255	1	2015-12-02	10:55:03:600	0.0862663	0.127386	15.7958	695.013	1270.87	22.8757	30.3369	101.157	0.613731	0.318542	0.0400124	304.148	2.29475	0	393.985	31.6987	25.0238	98.9572	39259	39207	38761	39372	119
DATA	1449024903	700000000	169973592	255	1	2015-12-02	10:55:03:700	0.086282	0.125958	15.7997	695.188	1250.51	22.5092	30.3369	101.152	0.621204	0.292389	0.0443716	304.278	2.29486	0	394.084	31.1908	25.0443	98.9561	39161	39206	38760	39372	 52
DATA	1449024903	800000000	169973622	255	1	2015-12-02	10:55:03:800	0.0862682	0.128326	15.796	695.024	1284.36	23.1184	30.3369	101.152	0.621204	0.322281	0.0425034	304.266	2.29475	0	393.991	32.035	25.189	98.9522	39169	39205	38760	39371	174
DATA	1449024903	900000000	169973652	255	1	2015-12-02	10:55:03:900	0.0862661	0.128031	15.7956	695.007	1280.13	23.0424	30.3369	101.152	0.621204	0.318542	0.0418806	304.272	2.29475	0	393.984	31.9298	25.0588	98.9497	39247	39205	38758	39371	100
DATA	1449024904	0	169973682	255	1	2015-12-02	10:55:04:000	0.0862877	0.126254	15.801	695.242	1254.72	22.585	30.3369	101.157	0.576366	0.322281	0.0449944	304.272	2.29475	0	394.112	31.2957	25.0736	98.9522	39169	39205	38759	39371	121
DATA	1449024904	100000000	169973712	255	1	2015-12-02	10:55:04:100	0.0862688	0.128195	15.7962	695.031	1282.48	23.0846	30.333	101.152	0.561419	0.318542	0.0468626	304.322	2.29475	0	393.992	31.9879	25.4363	98.9497	39130	39204	38758	39370	 55
DATA	1449024904	200000000	169973742	255	1	2015-12-02	10:55:04:200	0.0862638	0.128801	15.7949	694.977	1291.19	23.2415	30.3369	101.152	0.486689	0.247547	0.0375214	304.266	2.29475	0	393.969	32.2059	25.3833	98.9497	39137	39203	38757	39369	144
DATA	1449024904	300000000	169973772	255	1	2015-12-02	10:55:04:300	0.086268	0.128654	15.7959	695.02	1289.07	23.2033	30.333	101.157	0.445587	0.206446	0.0344076	304.166	2.29475	0	393.993	32.153	25.2735	98.9472	39164	39204	38757	39369	160
DATA	1449024904	400000000	169973802	255	1	2015-12-02	10:55:04:400	0.0862739	0.128089	15.7975	695.089	1280.97	23.0575	30.333	101.157	0.445587	0.26623	0.0250664	304.222	2.29486	0	394.037	31.9514	25.259	98.9486	39156	39202	38757	39369	226
DATA	1449024904	500000000	169973832	255	1	2015-12-02	10:55:04:500	0.086262	0.128314	15.7946	694.964	1284.2	23.1156	30.333	101.152	0.516581	0.382065	0.0306711	304.222	2.29475	0	393.963	32.0316	25.3419	98.9447	39163	39202	38757	39368	176
DATA	1449024904	600000000	169973862	255	1	2015-12-02	10:55:04:600	0.0862369	0.128023	15.7888	694.708	1280.01	23.0402	30.333	101.152	0.501635	0.382065	0.0375214	304.148	2.29475	0	393.811	31.9266	25.1498	98.9486	39194	39203	38758	39368	 40
DATA	1449024904	700000000	169973892	255	1	2015-12-02	10:55:04:700	0.0862594	0.127382	15.7941	694.941	1270.81	22.8747	30.333	101.157	0.501635	0.423164	0.0368986	304.216	2.29475	0	393.933	31.6964	25.2011	98.9421	39209	39201	38756	39366	 51
DATA	1449024904	800000000	169973922	255	1	2015-12-02	10:55:04:800	0.0862541	0.12713	15.7929	694.888	1267.21	22.8098	30.333	101.152	0.516581	0.426905	0.0418806	304.029	2.29475	0	393.902	31.6064	25.4502	98.9421	39100	39201	38756	39367	234
DATA	1449024904	900000000	169973952	255	1	2015-12-02	10:55:04:900	0.0862406	0.129453	15.7893	694.728	1300.58	23.4104	30.333	101.152	0.475479	0.52779	0.0418806	304.366	2.29486	0	393.814	32.4388	25.5403	98.9411	39090	39199	38756	39366	 22
DATA	1449024905	0	169973982	255	1	2015-12-02	10:55:05:000	0.0862287	0.129671	15.7864	694.603	1303.72	23.4669	30.333	101.152	0.520317	0.598785	0.0393896	304.222	2.29486	0	393.74	32.5169	25.5927	98.9385	39094	39198	38755	39365	165
DATA	1449024905	100000000	169974012	255	1	2015-12-02	10:55:05:100	0.0862322	0.129457	15.7872	694.639	1300.61	23.4111	30.333	101.152	0.576366	0.542736	0.0375214	304.322	2.29475	0	393.757	32.4392	25.4182	98.9371	39149	39199	38754	39365	 25
DATA	1449024905	200000000	169974042	255	1	2015-12-02	10:55:05:200	0.0862423	0.128262	15.7898	694.753	1283.41	23.1014	30.333	101.157	0.531527	0.583839	0.0425034	304.247	2.29475	0	393.819	32.0099	25.2576	98.9346	39151	39199	38755	39365	 43
DATA	1449024905	300000000	169974072	255	1	2015-12-02	10:55:05:300	0.0862233	0.128282	15.7857	694.57	1283.73	23.1071	30.333	101.152	0.546473	0.52779	0.0325394	304.247	2.29486	0	393.736	32.0195	25.0319	98.9385	39252	39200	38759	39365	194
DATA	1449024905	400000000	169974102	255	1	2015-12-02	10:55:05:400	0.0861619	0.125961	15.772	693.967	1250.57	22.5102	30.3291	101.157	0.520317	0.568893	0.0400124	304.229	2.29486	0	393.392	31.1922	24.9494	98.9411	39226	39201	38757	39366	 23
DATA	1449024905	500000000	169974132	255	1	2015-12-02	10:55:05:500	0.0862026	0.126642	15.781	694.366	1260.24	22.6844	30.3291	101.152	0.546473	0.598785	0.0300484	304.048	2.29486	0	393.598	31.432	24.995	98.9436	39227	39201	38758	39367	207
DATA	1449024905	600000000	169974162	255	1	2015-12-02	10:55:05:600	0.0862254	0.126619	15.7864	694.6	1259.92	22.6785	30.3291	101.152	0.572632	0.568893	0.0219522	304.067	2.29486	0	393.734	31.4241	25.0004	98.9411	39234	39200	38757	39366	244
DATA	1449024905	700000000	169974192	255	1	2015-12-02	10:55:05:700	0.0862287	0.126396	15.7871	694.634	1256.73	22.6211	30.3291	101.157	0.561419	0.542736	0.00576067	304.048	2.29486	0	393.751	31.3444	24.8984	98.9411	39249	39201	38757	39367	168
DATA	1449024905	800000000	169974222	255	1	2015-12-02	10:55:05:800	0.0862267	0.12611	15.7868	694.621	1252.68	22.5482	30.3291	101.152	0.565159	0.598785	0.0132337	304.004	2.29475	0	393.75	31.2438	24.8985	98.9472	39249	39202	38759	39369	 20
DATA	1449024905	900000000	169974252	255	1	2015-12-02	10:55:05:900	0.0862468	0.126204	15.7915	694.825	1254.01	22.5721	30.3291	101.152	0.550209	0.572632	0.0175929	303.998	2.29486	0	393.865	31.2769	24.9376	98.9461	39234	39203	38757	39368	121
DATA	1449024906	0	169974282	255	1	2015-12-02	10:55:06:000	0.0862629	0.126528	15.7953	694.993	1258.64	22.6555	30.3291	101.152	0.561419	0.553946	0.0200839	304.048	2.29486	0	393.976	31.3938	24.9821	98.9461	39228	39202	38755	39368	  0
DATA	1449024906	100000000	169974312	255	1	2015-12-02	10:55:06:100	0.0862812	0.126667	15.7993	695.169	1260.6	22.6908	30.3291	101.157	0.576366	0.553946	0.0231977	303.979	2.29486	0	394.055	31.441	25.0252	98.9436	39222	39201	38754	39366	  5
DATA	1449024906	200000000	169974342	255	1	2015-12-02	10:55:06:200	0.0862783	0.126688	15.7987	695.141	1260.9	22.6962	30.3252	101.152	0.591312	0.553946	0.0126109	304.048	2.29486	0	394.041	31.4487	24.9306	98.9486	39265	39203	38759	39369	 61
DATA	1449024906	300000000	169974372	255	1	2015-12-02	10:55:06:300	0.0862359	0.125797	15.789	694.718	1248.22	22.468	30.3252	101.152	0.595051	0.602524	0.0175929	304.004	2.29475	0	393.801	31.1324	24.8392	98.9447	39256	39202	38757	39368	253
DATA	1449024906	400000000	169974402	255	1	2015-12-02	10:55:06:400	0.0862476	0.12605	15.7917	694.833	1251.81	22.5325	30.3252	101.157	0.632416	0.553946	0.0182157	303.955	2.29475	0	393.862	31.2215	24.9382	98.9472	39196	39204	38756	39369	 48
DATA	1449024906	500000000	169974432	255	1	2015-12-02	10:55:06:500	0.0863158	0.127474	15.807	695.51	1272.12	22.8981	30.3252	101.152	0.651096	0.568893	0.0132337	303.998	2.29486	0	394.232	31.7269	25.1612	98.9461	39190	39203	38754	39368	  0
